NOMBRE DE PROVEEDOR,ESPECIALIDAD,SUBESPECIALIDAD,PUEBLO,TELEFONO,DIRECCIÌÒN FÌçSICA,Contry,Location
Servicios RadiÌ_logos Asociados SRL HNC Humacao X-ray,RadiÌ_logo,,Humacao,787-764-7328,"Humacao Xray #62 
Calle Antonio LÌ_pez
Humacao PR  00791",Puerto Rico,"Humacao, Puerto Rico
(18.151470017000463, -65.82337000899963)"
Municipio de Guanica,Ambulancia,,Guanica,787-821-0402,"Ramal #116 Km 2.2
GuÌÁnica PR  00653",Puerto Rico,"Guanica, Puerto Rico
(17.971420018000458, -66.90684997999966)"
Laboratorio ClÌ_nico C&C CSP,Laboratorio ,ClÌ_nico,Yauco,787-267-3869,"Centro Comercial Barinas
Ste. 201 Bo. Barinas
Yauco PR  00698",Puerto Rico,"Yauco, Puerto Rico
(18.033410023000442, -66.84844998399961)"
Luis Galarza Escobar ,Maxilofacial ,,Arecibo,787-878-4102,"Ave. San Luis #560
Arecibo PR  00612",Puerto Rico,"Arecibo, Puerto Rico
(18.47238998600045, -66.71972999299965)"
JosÌ© Manautou Godreau,Internista,,Caguas,787-224-5664,"Hosp. HIMA Plaza 1 Ofic. 703
Piso 7
Caguas PR  00725",Puerto Rico,"Caguas, Puerto Rico
(18.226539990000447, -66.03746001999963)"
Centro Citopatologico del Caribe Inc. ,PatologÌ_a,,San Juan,787-759-7822,"Condominio El Centro II
500 Ave. MuÌ±oz Rivera Local 21
San Juan PR  00918",Puerto Rico,"San Juan, Puerto Rico
(18.46632997800043, -66.10474000399967)"
Lourdes PÌ©rez VelÌÁzquez ,Generalista,,Ponce,787-844-3067,"GalerÌ_a Profesional
8118 Calle Concordia Ste. 105
Ponce PR  00717",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
ClÌ_nica de Terapia FÌ_sica Y RehabilitaciÌ_n CSP,Terapia  ,FÌ_sica,Naguabo,787-874-1449,"#49 Calle Baldorioty
Naguabo PR  00718",Puerto Rico,"Naguabo, Puerto Rico
(18.211570007000432, -65.73506000999964)"
Manuel A. Brignoni RomÌÁn ,Psiquiatra ,,Ponce,787-844-3067,"GalerÌ_a Profesional
8118 Calle Concordia Ste. 105
Ponce PR  00717",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
BC Orthopedic Solutions PSC,Ortopeda ,,MayagÌ_ez,787-833-6893,"1065 Ave. Corazones Suite 102
MayagÌ_ez PR  00680",Puerto Rico,"Mayag&uuml;ez, Puerto Rico
"
Laboratorio ClÌ_nico La 100,Laboratorio ,ClÌ_nico,Cabo Rojo,787-255-0100,"Carr. #100 Km 6.4
Cabo Rojo PR  00623",Puerto Rico,"Cabo Rojo, Puerto Rico
(18.088200019000453, -67.14688998899965)"
Pablo Vega DBA Jam Ambulance Services , Ambulancia ,,Cayey,787-263-0914,"Urb. Los Laureles #13
Los Almendros
Cayey PR  00737",Puerto Rico,"Cayey, Puerto Rico
(18.114650009000457, -66.16996001699965)"
ClÌ_nica de Terapia FÌ_sica y RehabilitaciÌ_n,Salud en el Hogar,Terapia FÌ_sica,Maunabo,787-874-0600,"Calle Baldorioty #45
Naguabo PR  00718",Puerto Rico,"Maunabo, Puerto Rico
(18.007330005000426, -65.90155001499966)"
Rosa I. Cardona Moreu ,Generalista ,,Guayama,787-864-1012,"Guayama Medical Center
Ave. Los Veteranos #3
Guayama PR  00784",Puerto Rico,"Guayama, Puerto Rico
(17.985200020000434, -66.11315001099962)"
Rafael L Oms Rivera ,Fisiatra,Terapia FÌ_sica,Ponce,787-848-4937,"Edif. Parra Ofic. 301
Ponce By Pass #2225
Ponce PR  00717",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Militza VÌ©lez Soto,Terapia  ,Habla,Caguas,787-375-0282,"Urb. Caguas Norte
H-5 Ave. Rafael Cordero
Caguas PR  00725",Puerto Rico,"Caguas, Puerto Rico
(18.226539990000447, -66.03746001999963)"
"Salud Integral de la MontaÌ±a, Inc. ",Salud en el Hogar,Terapia Ocupacional,Barranquitas,787-857-5800,"Edif. Hospital del Hospital
Centro de Salud Int.
Barranquitas PR  00794",Puerto Rico,"Barranquitas, Puerto Rico
(18.18655002300045, -66.30649998599966)"
JosÌ© V. Carrillo Monllor,EmergenciÌ_logo,,MayagÌ_ez,787-834-0101,"Hosp. Perea Inc
Calle Dr. Barbosa #15
MayagÌ_ez PR  00680",Puerto Rico,"Mayag&uuml;ez, Puerto Rico
"
Centro de ImÌÁgenes SonogrÌÁfico Corp. ,RadiÌ_logo,ProducciÌ_n e InterpretaciÌ_n,San Lorenzo,787-736-4226,"Plaza Buxo #4B
Carr. 181 IntersecciÌ_n 183
San Lorenzo PR  00754",Puerto Rico,"San Lorenzo, Puerto Rico
(18.190280024000458, -65.96230000999964)"
"Precision Hearing Center, Inc..",Terapia,Habla y AudiologÌ_a,San juan,787-884-4629,"Ave. Kennedy #24 Suite 103
Aguadillas PR  000603",Puerto Rico,"San juan, Puerto Rico
(18.46632997800043, -66.10474000399967)"
Norberto Pellot Moran,Psiquiatra ,,BayamÌ_n,787-740-8090,"Metro Medical Center
#1995 Carr. #2 Ste. 310
BayamÌ_n PR  00959",Puerto Rico,"Bayam&oacute;n, Puerto Rico
"
Frank A. Gaudier Guerra,RadiÌ_logo,,Santurce,787-268-1015,"Centro Cardiovascular de PR
Suite 1 Centro MÌ©dico
RÌ_o Piedras PR  00926",Puerto Rico,"Santurce, Puerto Rico
(18.454699983000467, -66.06458000699962)"
Nueva Vida de la Salud Corp..,Salud en el Hogar,,Vega Baja,787-270-2686,"Carr. #693 Km 14.2
Sector BreÌ±as
Vega Alta PR  00692",Puerto Rico,"Vega Baja, Puerto Rico
(18.446009992000427, -66.38754999999964)"
Nueva Vida de la Salud Corp..,Terapia,"FÌ_sica, Ocupacional y Habla ",Vega Baja,787-270-2686,"Carr. #693 Km 14.2
Sector BreÌ±as
Vega Alta PR  00692",Puerto Rico,"Vega Baja, Puerto Rico
(18.446009992000427, -66.38754999999964)"
Rigar Medical Transport Inc.,Ambulancia,,Vega Alta,787-364-9076,"Carr. #678 Km 0.8 Bo. PÌÁmpanos
Vega Alta PR  00692",Puerto Rico,"Vega Alta, Puerto Rico
(18.412209980000455, -66.33177998699966)"
Nueva Vida de la Salud Corp..,Generalista,,Vega Baja,787-270-2686,"Carr. #693 Km 14.2
Sector BreÌ±as
Vega Alta PR  00692",Puerto Rico,"Vega Baja, Puerto Rico
(18.446009992000427, -66.38754999999964)"
George D. AlcÌÁntara Cardi ,Generalista ,,Arecibo,787-817-3392,"Arecibo Medical Plaza
Suite 201 Ave. Barbosa #65
Arecibo PR  00612",Puerto Rico,"Arecibo, Puerto Rico
(18.47238998600045, -66.71972999299965)"
Willie N. Malave Bonilla ,Pediatra,,Lares,787-897-5555,"Carr. #129 Km 21.8
Int. Bo. Callejones
Lares PR  00669",Puerto Rico,"Lares, Puerto Rico
(18.29824998400045, -66.87340999299965)"
Alberto AvilÌ©s MuÌ±oz,Terapia,Habla,MayagÌ_ez,787-503-9590,"Medical Center Plaza Suite 215
Ave. Hostos Carr. #2
MayagÌ_ez PR  00680",Puerto Rico,"Mayag&uuml;ez, Puerto Rico
"
American Radiology and Cardiovascular Institute at San Antonio PSC,RadiÌ_logo,InterpretaciÌ_n,MayagÌ_ez,787-834-0050,"Calle RamÌ_n Emeterio Betances
#18
MayagÌ_ez PR  00680",Puerto Rico,"Mayag&uuml;ez, Puerto Rico
"
Fidel De FrÌ_as JimÌ©nez,PatologÌ_a,,Aguadilla,787-882-6950,"Ave. Severiano Cuevas
Sector Candelaria Edif. La Paz
Arecibo PR  00612",Puerto Rico,"Aguadilla, Puerto Rico
(18.434599981000474, -67.15518999199963)"
JosÌ© Portalatin RodrÌ_guez,Generalista,,Hatillo,787-881-6969,"Bo. Sabana Hoyos
Edif. La Paz Sect. Candelaria
Arecibo PR  00612",Puerto Rico,"Hatillo, Puerto Rico
(18.483049984000445, -66.82282999899962)"
Anestesia del Norte PSC,AnestesiÌ_logo,,ManatÌ_,787-631-3700,"Urb. Atenas 
Calle HernÌÁndez #668
ManatÌ_ PR  00674",Puerto Rico,"Manat&iacute;, Puerto Rico
"
FÌ©lix Maldonado Trinidad ,Generalista ,,ManatÌ_,787-884-4331,"Hosp. Dr. Center
Sala de Emergencia
ManatÌ_ PR  00674",Puerto Rico,"Manat&iacute;, Puerto Rico
"
Yaira Vargas MartÌ_nez,Laboratorio ,ClÌ_nico,Ponce,787-813-2525,"Ave. Pedro Noel #33
Ponce PR  00716",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Luis I. PiÌ±eiro Montalvo ,Generalista,,Cabo Rojo,787-851-9361,"Ave. Santos Ortiz #20
Carr. #308
Cabo Rojo PR  00623",Puerto Rico,"Cabo Rojo, Puerto Rico
(18.088200019000453, -67.14688998899965)"
JosÌ© A. Pietri SepÌ_lveda ,Generalista ,,Aibonito,787-991-1560,"Calle RamÌ_n Flores #102
Aibonito PR  00705",Puerto Rico,"Aibonito, Puerto Rico
(18.139880006000453, -66.26568001399966)"
Biomaris Medina Rivera ,Internista,Intensivista,MayagÌ_ez,787-652-9200,"Ave. Hostos #410 Carr. #2
MayagÌ_ez Medical Center
MayagÌ_ez PR  00680",Puerto Rico,"Mayag&uuml;ez, Puerto Rico
"
Lexmarys Ambulance Inc. ,Ambulancia,,San SebastiÌÁn,787-317-7854,"Carr #111 Km 14.3
Bo. Hato Arriba 
San SebastiÌÁn PR  00685",Puerto Rico,"San Sebasti&aacute;n, Puerto Rico
"
"Coqui Medical Equipment, Inc.",Equipo MÌ©dico ,,Aibonito,787-991-0075,"Carr. #14 Km 46.7
Bo. Asomante
Aibonito PR  00705",Puerto Rico,"Aibonito, Puerto Rico
(18.139880006000453, -66.26568001399966)"
Juan C. Ramos DBA Vision Life Medical Transport,Ambulancia,,AÌ±asco,787-479-9494,"Bo. Carreras Carr. #405 Km 1.0
Edif. Paseo del RÌ_o 1-A
AÌ±asco PR  00610",Puerto Rico,"A&ntilde;asco, Puerto Rico
"
BolaÌ±os Surgical Services CSP,Cirujano ,General,Ponce,787-290-4731,"Torres MÌ©dica San Lucas
#909 Ave. Tito Castro Suite 723
Ponce PR  00716",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Metrohealth Radiation Oncology Group Inc. ,Radioterapia ,,RÌ_o Piedras,787-774-5555,"Hosp. Metropolitano
Urb. Las Lomas Carr. #21
San Juan PR  00928",Puerto Rico,"R&iacute;o Piedras, Puerto Rico
"
"Hospital General CastaÌ±er, Inc..",Ambulancia,,CastaÌ±er,787-829-5010,"Carr. #135 Km 64.2
CastaÌ±er PR  00631",Puerto Rico,"Casta&ntilde;er, Puerto Rico
"
"Integrated Psychological Services, CSP",PsicÌ_logo,,Caguas,787-961-3600,"Consolidated Med. Plaza #201
Gautier BenÌ_tez Ofic. 307-A
Caguas PR  00725",Puerto Rico,"Caguas, Puerto Rico
(18.226539990000447, -66.03746001999963)"
"Medical Alert Ambulance Service, Inc.",Ambulancia,,Barranquitas,787-702-9096,"Carr. #771 Km 7.9 Int.
Bo. Barrancas
Barranquitas PR  00794",Puerto Rico,"Barranquitas, Puerto Rico
(18.18655002300045, -66.30649998599966)"
Edgardo Richiez ColÌ_n,Ambulancia,,Ponce,787-856-3713,"Calle Miguel A. CintrÌ_n Km 1.5
Yauco PR  00698",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Grupo FisiÌÁtrico de Cidra PSC,Terapia ,FÌ_sica,Cidra,787-739-9898,"Plaza JÌ_baro #570
Ave. Interior
Cidra PR  00739",Puerto Rico,"Cidra, Puerto Rico
(18.175390008000477, -66.16058001299962)"
Rapid Response Ambulance (RRA) Corp. ,Ambulancia,,San Juan,787-946-1082,"Sagrado CorazÌ_n #406
Calle San Claudio Suite 4
San Juan PR  00926",Puerto Rico,"San Juan, Puerto Rico
(18.46632997800043, -66.10474000399967)"
Marie C. Lugo Cruz ,Fisiatra ,Terapia FÌ_sica,Aibonito,787-735-2445,"Instituto FisiÌÁtrico Aibonito
Hospital Menonita
Aibonito PR  00705",Puerto Rico,"Aibonito, Puerto Rico
(18.139880006000453, -66.26568001399966)"
ClÌ_nica de Terapia FÌ_sica Villa Real Inc. ,Terapia ,FÌ_sica,Vega Baja,787-654-8400,"Carr. #2 Marginal
Urb. Villa Real D-18
Vega Baja PR  00693",Puerto Rico,"Vega Baja, Puerto Rico
(18.446009992000427, -66.38754999999964)"
Nannette Pares Iturrino ,Fisiatra ,,Carolina,787-757-3939,"Carolina Shopping Court
Local 25-A SÌ_tano
Carolina PR  00995",Puerto Rico,"Carolina, Puerto Rico
(18.442839984000443, -66.02399001499964)"
Siro GutiÌ©rrez Jovet,QuiroprÌÁctico,,MayagÌ_ez,787-805-2445,"Plaza Hostos Suite 9
Carr. #2 Km 151
MayagÌ_ez PR  00680",Puerto Rico,"Mayag&uuml;ez, Puerto Rico
"
Laboratorio ClÌ_nico Minillas ,Laboratorio ,ClÌ_nico,BayamÌ_n,787-269-5262,"Ave. Minillas NM-14
Santa Juanita
BayamÌ_n PR  00956",Puerto Rico,"Bayam&oacute;n, Puerto Rico
"
Jorge Miranda Alicea ,Generalista ,,San German,787-978-7225,"Carr. #2 Km 38.1 Local 15
Bo. Minillas
San GermÌÁn PR  00683",Puerto Rico,"San German, Puerto Rico
(18.08132000100045, -67.04160998799966)"
Eileen Bravo Cuevas,Fisiatra,,Carolina,787-226-5912,"Coop. Ciudad Universitaria
Ave. Periferal G-10
Trujillo Alto PR  00976
Centro FisiÌÁtrico y Rehab.
SÌ_tano Shoping Court Carolina PR  00986",Puerto Rico,"Carolina, Puerto Rico
(18.442839984000443, -66.02399001499964)"
DSI Labs HNC Lab ClÌ_nico Irizarry Guasch,Laboratorio ,ClÌ_nico,Ponce,787-840-0004,"Ave. MuÌ±oz Rivera #1266
Ponce PR  00717",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Emergencias MÌ©dicas Corozal,Ambulancia,,Corozal,787-859-2052,"Calle Cervantes #9
Corozal PR  00783",Puerto Rico,"Corozal, Puerto Rico
(18.340609991000463, -66.31697998399966)"
Laboratorio ClÌ_nico Tiago ,Laboratorio ,ClÌ_nico,Corozal,787-859-1823,"Urb. San Feliz
2 Calle 1
Corozal PR  00783",Puerto Rico,"Corozal, Puerto Rico
(18.340609991000463, -66.31697998399966)"
Robert J. Muns Sosa ,EmergenciÌ_logo,,Guayama,787-864-4300,"Urb. Parque Inter A-21
Guayama PR  00784",Puerto Rico,"Guayama, Puerto Rico
(17.985200020000434, -66.11315001099962)"
Laboratorio ClÌ_nico Juncos Inc. ,Laboratorio ,ClÌ_nico,Juncos,787-734-7691,"Teodomiro Delfaus #7
Esquina Dr. Barreras
Junco PR  00777",Puerto Rico,"Juncos, Puerto Rico
(18.22783997600044, -65.92472001699963)"
Activo y en Movimiento Terapia FÌ_sica y Ocupacional CSP,Terapia ,FÌ_sica y Ocupacional,Hormigueros,787-849-3884,"Plaza Monserrate II Ofic. 9
Hormigueros PR  00660
Centro Profesional Del Sur
Sector 4 calles Ofif. 4
Yauco PR  00698",Puerto Rico,"Hormigueros, Puerto Rico
(18.14104002400046, -67.12240998099963)"
Ricardo LÌ_pez LÌ_pez ,Generalista ,,Hatillo,787-820-0542,"Bo. Corcovado
Carr. 492 Km 2.9
Hatillo PR  00659",Puerto Rico,"Hatillo, Puerto Rico
(18.483049984000445, -66.82282999899962)"
Patricia PiÌ±ero Olmo ,Generalista ,,Hatillo,787-820-0542,"Bo. Corcovado
Carr. 492 Km 2.9
Hatillo PR  00659",Puerto Rico,"Hatillo, Puerto Rico
(18.483049984000445, -66.82282999899962)"
Luis G. Marrero PÌ©rez,Ortopeda,Cirujano,MayagÌ_ez,787-652-9200,"MayagÌ_ez Medical Center
Hostos Ofic. 122-N  1er Piso
MayagÌ_ez PR  00680
Edificio Parra Ofic. 302
Al lado Hosp. Damas #2
Ponce PR  00716",Puerto Rico,"Mayag&uuml;ez, Puerto Rico
"
Centro de Terapia FÌ_sica y ElectrodiagnÌ_stico Inc..,Salud en el Hogar,Terapia FÌ_sica,Moca,787-877-3466,"Hosp. San Carlos
Calle ConcepciÌ_n Vera Ayala #550
Moca PR  00676",Puerto Rico,"Moca, Puerto Rico
(18.394929981000473, -67.11367998199967)"
Carlos Delgado Reyes,MÌ©dico de Familia,,ManatÌ_,787-854-5570,"Calle HernÌÁndez CarriÌ_n E-24
Urb. Atenas
ManatÌ_ PR  00674",Puerto Rico,"Manat&iacute;, Puerto Rico
"
Mauro FernÌÁndez GonzÌÁlez,Ortopeda,Cirujano,Ponce,787-848-2121,"Hosp. San CristÌ_bal 
Carr. PR 506 Edif. B Ste. 1
Coto Laurel PR  00780",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Ramul E. Torres Castro,Generalista,Acupuntor,San Juan,787-296-3226,"Urb. University Gardens
254 Ave. JesÌ_s T. PiÌ±ero
San Juan PR  00927",Puerto Rico,"San Juan, Puerto Rico
(18.46632997800043, -66.10474000399967)"
Guillermo F. Campos Silva,EmergenciÌ_logo,,Caguas,787-653-0550,"Hospital Menonita de Caguas
Sala de Emergencias
Caguas PR  00726",Puerto Rico,"Caguas, Puerto Rico
(18.226539990000447, -66.03746001999963)"
Samuel VÌÁzquez Figueroa,Pediatra,,Cayey,787-738-7474,"Calle Heraclio Mendoza #23
Cayey PR  00736",Puerto Rico,"Cayey, Puerto Rico
(18.114650009000457, -66.16996001699965)"
Geneizaack Medical Transport Inc.,Ambulancia,,Humacao,939-940-8698,"Ave. Font Martelo #158-A
Humacao PR  00971",Puerto Rico,"Humacao, Puerto Rico
(18.151470017000463, -65.82337000899963)"
Rafael M. BÌÁez BÌÁez ,Psiquiatra ,,Ponce,787-841-8835,"1800 Infanta 
Valle Real 
Ponce, PR 00716",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Maria Magraner Franceschini,PsicÌ_logo ,,Ponce,787-840-3128,"2225 Parra Building 
Suite 304 Ponce By Pass 
Ponce, PR 00717",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Astrid Vargas DBA Centro Terapia FÌ_sica Mocano ,Terapia ,FÌ_sica,Moca,787-877-4880,"Calle Barbosa 129
Moca, PR 00676",Puerto Rico,"Moca, Puerto Rico
(18.394929981000473, -67.11367998199967)"
RamÌ_n O. Rivera GonzÌÁlez,Internista,,San SebastiÌÁn,"787-896-3636
787-265-0808","Calle Hostos #5 Bajos 
San Sebastian, PR 00685
Edif Med Prof 
1065 Ofic 105 Ave. Los Corazones 
San Sebastian, PR 00685",Puerto Rico,"San Sebasti&aacute;n, Puerto Rico
"
JosÌ© A. Cancio Berrios,Ortopeda,Cirujano,MayagÌ_ez,787-806-2600,"349 Ave. Hostos Edif Medical 
Emporium II Suite 1-A
Mayaguez, PR 00680",Puerto Rico,"Mayag&uuml;ez, Puerto Rico
"
Emely Martell Alcover,PsicÌ_logo,ClÌ_nico,Ponce,787-840-8500,"Ponce Mall Local 15
Carr 2 Km. 225.8
 Ponce, PR 00731",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Lionel Lugo RodrÌ_guez,ENT,,Ponce,"787-892-2841
787-848-4777","Antiguo Hospital San Lucas 
1er Piso Calle Guadalupe 
Ponce, PR 00733
Edf Plaza Oasis 
C/Lunal Principal 
San GermÌÁn, PR 00683",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Norman F. RamÌ_rez Lluch,Ortopeda ,PediÌÁtrico,San German,787-264-2066,"Torre Medical San Vicente de Paul 
Carr 2 5to Piso Ofic 501-502
San German, PR 00683",Puerto Rico,"San German, Puerto Rico
(18.08132000100045, -67.04160998799966)"
Miguel A. RodrÌ_guez Figueroa,PsicÌ_logo,,MayagÌ_ez,787-832-8925,"Condominio Radio Centro 
Bosque Esq. Post Ofic 302
Mayaguez, PR 00681",Puerto Rico,"Mayag&uuml;ez, Puerto Rico
"
Tiru Ambulance Corp..,Ambulancia,,Yauco,787-602-7157,"Calle 25 de Julio #17
Yauco, PR 00698",Puerto Rico,"Yauco, Puerto Rico
(18.033410023000442, -66.84844998399961)"
Jaime Salas Rushford ,Internista,,San Juan,787-587-8400,"559 Cabo H. Alverio 
Ext. Roosevelt 
San Juan, PR 00918",Puerto Rico,"San Juan, Puerto Rico
(18.46632997800043, -66.10474000399967)"
Natalia Soto Villarrubia,Generalista,,Aguada,787-431-5421,"Love & Care Nursing 
Carr 411 Km 13 Bo. Piedras 
Aguada, PR 00603",Puerto Rico,"Aguada, Puerto Rico
(18.38036997800043, -67.18917997599965)"
Luis A. PeÌ±a Figueroa,Generalista,,Dorado,787-796-7897,"Ave. Pedro Albizu Campos 
155 BO. Mameyal 
Dorado, PR 00646",Puerto Rico,"Dorado, Puerto Rico
(18.459459982000453, -66.26256000899963)"
Carlos A. QuiÌ±ones Rampolla ,Generalista,,Guayama,787-845-2150,"Hosp. San Lucas Guayama
Ave. Albizu Campos 
Guayama, PR 00784",Puerto Rico,"Guayama, Puerto Rico
(17.985200020000434, -66.11315001099962)"
Laboratorio ClÌ_nico Caribe Medical Plaza,Laboratorio ,ClÌ_nico,Vega Alta,787-883-0915,"Carr #2 Marginal #1
Edif. Caribe Medical Plaza 
Vega Alta, PR 00692",Puerto Rico,"Vega Alta, Puerto Rico
(18.412209980000455, -66.33177998699966)"
Laboratorio ClÌ_nico Alondra ,Laboratorio ,ClÌ_nico,Vega Alta,787-915-5164,"Carr 2 Km 28.1
BO. Espinosa 
Vega Alta, PR 00692",Puerto Rico,"Vega Alta, Puerto Rico
(18.412209980000455, -66.33177998699966)"
PR Medical Orthotics Services Corp. ,Equipo MÌ©dico ,,BayamÌ_n,787-294-5950,"Ave. Gilberto Concepcion 
De Gracia Sierra 
BayamÌ_n, PR 00960",Puerto Rico,"Bayam&oacute;n, Puerto Rico
"
Carla M. Rosario Cuevas ,Generalista ,,San Juan,787-294-9399,"C/Sergio Cuevas Bustamante 
Urb. Parque Central 529
San Juan, PR 00918",Puerto Rico,"San Juan, Puerto Rico
(18.46632997800043, -66.10474000399967)"
BioimÌÁgenes MÌ©dicas CSP,RadiÌ_logo,,MayagÌ_ez,787-805-2041,"Edif Med Emporium Ste 110
351 Ave. Hostos 
Mayaguez, PR 00680",Puerto Rico,"Mayag&uuml;ez, Puerto Rico
"
Carlos J. Rivera DBA CEFISAD,Terapia ,FÌ_sica,Guaynabo,787-283-1554,"Camino Alejandrino C-2
Urb. Villa Clementina 
Guaynabo, PR 00969",Puerto Rico,"Guaynabo, Puerto Rico
(18.359729975000448, -66.11052000299964)"
Pedro A. Berrios Ortiz,MÌ©dico de Familia,,Juana DÌ_az,787-887-2555,"Calle Degetau #41
Juana DÌ_az, PR 00795",Puerto Rico,"Juana D&iacute;az, Puerto Rico
"
Joseph M. Redondo GarcÌ_a,QuiroprÌÁctico,,Ponce,787-844-1130,"Edif. Galeria Professional 
818 C/Concordia Suite 202
Ponce, PR 00717",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Julio A. SepÌ_lveda Franco,CardiÌ_logo,,Juana DÌ_az,787-260-2334,"Calle Comercio 
Esq. Mora 101 
Juana DÌ_az, PR 00795
Calle Victoria #375
Ponce, PR 00731",Puerto Rico,"Juana D&iacute;az, Puerto Rico
"
Joseph Cannizaro de JesÌ_s,Generalista,,Ponce,787-734-0494,"1255 Paseo Las Monjitas 
Suite 204 Plaza Las Monjitas 
Ponce, PR 00730",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
JosÌ© A. Blanco De JesÌ_s,Generalista,,Ponce,787-844-7336,"Plaza Las Monjitas Suite 204
1255 Ave. Tito Castro 
Ponce, PR 00730",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Safe Life Ambulance Inc.,Ambulancia,,Lajas,787-951-0858,"Carr 392 Km. 1.4
Cerro Alto Bo. Candelario 
Lajas, PR 00667",Puerto Rico,"Lajas, Puerto Rico
(18.052880012000458, -67.05813999799966)"
Elizabeth Cordero DBA Centro de Terapia FÌ_sica un Toque de Esperanza ,Terapia ,FÌ_sica,Aguada,787-868-2727,"Carr 4415
Bo. Asomante Ave. Rotarios 
Aguada, PR 00602",Puerto Rico,"Aguada, Puerto Rico
(18.38036997800043, -67.18917997599965)"
Juan S. GÌ_mez HernÌÁndez ,Generalista ,,Yabucoa,787-690-8280,"Urb. Villa Hilda C/1 A-5 
Yabucoa, PR 00767",Puerto Rico,"Yabucoa, Puerto Rico
(18.046540020000464, -65.87727002399964)"
Nydia Ribot Maldonado,Dentista,,Fajardo,787-863-9424,"316 De Diego Zaldurongo 
Fajardo, PR 00738",Puerto Rico,"Fajardo, Puerto Rico
(18.328119978000473, -65.65332000799964)"
Elvia Ayala HernÌÁndez ,Generalista ,,Aguadilla,787-882-8720,"Bo. Borinquen 
Carr 107 Km 2.7
Aguadilla, PR 00603",Puerto Rico,"Aguadilla, Puerto Rico
(18.434599981000474, -67.15518999199963)"
Enid Santos Cintron ,Generalista ,,Guayanilla,787-835-4574,"Calle Barbosa final 20
Guayama, PR 00656",Puerto Rico,"Guayanilla, Puerto Rico
(18.02363001000043, -66.79296997599965)"
Laboratorio ClÌ_nico Guayanillense ,Laboratorio,ClÌ_nico,Guayanilla,787-835-3209,"135 MuÌ±oz Rivera  
Guayanilla, PR 00656",Puerto Rico,"Guayanilla, Puerto Rico
(18.02363001000043, -66.79296997599965)"
Hospital La ConcepciÌ_n,Terapia ,FÌ_sica,San German,787-892-1860,"Edif. San Vicente de Paul 
Primer Piso 
San German, PR 00683",Puerto Rico,"San German, Puerto Rico
(18.08132000100045, -67.04160998799966)"
NicolÌÁs BezÌÁrez Torres,Internista,,Caguas,787-744-5042,"C/Prologancion Celis Aguilera #6
Caguas, PR 00725",Puerto Rico,"Caguas, Puerto Rico
(18.226539990000447, -66.03746001999963)"
MayagÌ_ez Orthopedics PSC,Ortopeda,"Cirujano, Med. Deportiva, Hombros, Rodillas y Caderas ",MayagÌ_ez,787-652-3800,"Carr 2 Km 154.9
Sector Ave. LA Loma Ave. Hostos 
Vega Alta, PR 00692",Puerto Rico,"Mayag&uuml;ez, Puerto Rico
"
"Laboratorio ClÌ_nico Loiza Valley, Inc. ",Laboratorio ,ClÌ_nico,CanÌ_vanas,787-876-0430,"Loiza Valley
Z-977 Bauhina 
CanÌ_vanas, PR 00729",Puerto Rico,"Can&oacute;vanas, Puerto Rico
"
Teresita Dalmau Irizarry ,PsicÌ_logo,,San Juan,787-209-1820,"Urb. Baldrich 
579 Ave. Hostos 
San Juan, PR 00918",Puerto Rico,"San Juan, Puerto Rico
(18.46632997800043, -66.10474000399967)"
Sol A. Robles GonzÌÁlez ,Generalista ,,Luquillo,787-889-4979,"121 A C/ Fernndez GarcÌ_a
Luquillo, PR 00773",Puerto Rico,"Luquillo, Puerto Rico
(18.37668998200047, -65.71652000999967)"
Exclusive Medical Supply & Respiratory Serv.,Equipo MÌ©dico ,,Carolina,787-750-5987,"Calle Amadeo 12
Carolina Pueblo 
Carolina, PR 00985",Puerto Rico,"Carolina, Puerto Rico
(18.442839984000443, -66.02399001499964)"
Yovin J. Vargas Llavona,Generalista ,Acupuntor,Aguadilla,787-882-0100,"Carr 2 Bo. Victoria km 129.3 
Aguadilla Medical Services 
Aguadilla, PR 00603",Puerto Rico,"Aguadilla, Puerto Rico
(18.434599981000474, -67.15518999199963)"
